iter	Passed	Remaining
0	186	186491
1	199	99492
2	214	71314
3	228	56841
4	240	47779
5	250	41516
6	263	37426
7	278	34526
8	290	31997
9	304	30098
10	315	28388
11	328	27074
12	343	26086
13	357	25152
14	370	24346
15	383	23567
16	395	22879
17	409	22325
18	423	21868
19	437	21418
20	450	21024
21	461	20532
22	473	20093
23	484	19704
24	494	19285
25	505	18925
26	515	18571
27	525	18251
28	535	17934
29	545	17647
30	555	17370
31	565	17109
32	575	16871
33	585	16635
34	595	16427
35	605	16223
36	615	16018
37	625	15844
38	637	15704
39	649	15581
40	660	15451
41	671	15327
42	682	15190
43	694	15082
44	705	14977
45	716	14863
46	726	14738
47	739	14657
48	750	14557
49	761	14467
50	773	14389
51	783	14289
52	794	14187
53	803	14068
54	812	13956
55	822	13860
56	831	13763
57	841	13662
58	850	13569
59	859	13469
60	869	13378
61	878	13298
62	888	13212
63	898	13135
64	906	13046
65	917	12977
66	926	12898
67	935	12827
68	944	12745
69	954	12687
70	964	12620
71	974	12559
72	983	12491
73	993	12436
74	1003	12381
75	1012	12313
76	1022	12254
77	1032	12207
78	1041	12141
79	1050	12085
80	1059	12020
81	1068	11963
82	1078	11914
83	1087	11854
84	1097	11813
85	1107	11773
86	1117	11725
87	1128	11695
88	1138	11655
89	1150	11633
90	1161	11601
91	1172	11572
92	1183	11539
93	1194	11515
94	1205	11486
95	1215	11445
96	1226	11419
97	1236	11385
98	1248	11358
99	1259	11331
100	1270	11307
101	1280	11272
102	1289	11233
103	1299	11195
104	1308	11156
105	1318	11117
106	1328	11083
107	1337	11042
108	1346	11008
109	1356	10971
110	1365	10937
111	1375	10901
112	1384	10870
113	1394	10838
114	1403	10801
115	1412	10762
116	1421	10727
117	1430	10689
118	1439	10657
119	1448	10620
120	1458	10591
121	1466	10557
122	1477	10532
123	1486	10500
124	1494	10462
125	1504	10434
126	1514	10412
127	1524	10387
128	1534	10359
129	1542	10324
130	1551	10293
131	1561	10267
132	1570	10238
133	1579	10205
134	1589	10184
135	1599	10160
136	1608	10130
137	1618	10108
138	1626	10075
139	1636	10050
140	1645	10023
141	1654	9997
142	1664	9975
143	1673	9949
144	1681	9917
145	1692	9901
146	1702	9881
147	1712	9860
148	1723	9842
149	1733	9824
150	1743	9804
151	1754	9788
152	1765	9775
153	1776	9760
154	1787	9746
155	1798	9729
156	1809	9715
157	1819	9695
158	1831	9686
159	1844	9682
160	1853	9661
161	1864	9642
162	1873	9622
163	1883	9600
164	1892	9578
165	1901	9555
166	1911	9536
167	1921	9516
168	1930	9493
169	1939	9468
170	1949	9451
171	1959	9430
172	1968	9412
173	1979	9397
174	1989	9377
175	1998	9357
176	2009	9344
177	2020	9330
178	2030	9314
179	2040	9294
180	2049	9274
181	2059	9258
182	2071	9249
183	2081	9229
184	2089	9206
185	2100	9193
186	2111	9178
187	2120	9156
188	2129	9138
189	2138	9116
190	2149	9104
191	2158	9085
192	2167	9062
193	2177	9048
194	2188	9033
195	2197	9015
196	2207	8997
197	2217	8982
198	2226	8960
199	2235	8942
200	2244	8922
201	2253	8902
202	2262	8883
203	2272	8866
204	2282	8852
205	2291	8832
206	2302	8822
207	2312	8805
208	2321	8787
209	2331	8769
210	2340	8751
211	2349	8733
212	2360	8719
213	2370	8705
214	2380	8690
215	2390	8675
216	2399	8656
217	2408	8639
218	2418	8624
219	2429	8612
220	2439	8598
221	2449	8585
222	2459	8570
223	2470	8560
224	2481	8548
225	2494	8541
226	2504	8527
227	2514	8515
228	2525	8503
229	2538	8496
230	2548	8485
231	2559	8473
232	2571	8464
233	2581	8450
234	2590	8432
235	2599	8416
236	2609	8399
237	2620	8388
238	2631	8379
239	2641	8364
240	2652	8352
241	2662	8338
242	2671	8322
243	2680	8304
244	2689	8288
245	2699	8274
246	2708	8258
247	2718	8243
248	2728	8228
249	2736	8210
250	2746	8195
251	2756	8181
252	2765	8165
253	2774	8149
254	2783	8133
255	2792	8115
256	2801	8100
257	2811	8086
258	2821	8073
259	2830	8056
260	2840	8041
261	2848	8023
262	2858	8010
263	2868	7995
264	2876	7979
265	2886	7964
266	2894	7947
267	2904	7932
268	2914	7918
269	2923	7903
270	2931	7886
271	2940	7870
272	2950	7857
273	2961	7845
274	2970	7831
275	2979	7816
276	2989	7802
277	2998	7787
278	3008	7775
